po_id,supplier_name_raw,true_supplier,true_category,item_description,business_unit,order_qty,invoice_value
PO100968,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,366,8917150.8
PO100969,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Central Maintenance,352,73333201.92
PO100970,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Blast Furnace,53,8107814.39
PO100971,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Coke Oven,160,7450833.6
PO100972,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,142,37236784.96
PO100973,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Coke Oven,141,20125729.47
PO100974,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Coke Oven,282,15465393.24
PO100975,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Blast Furnace,160,45662908.8
PO100976,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Power Plant,242,89138674.46
PO100977,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Plate Mill,219,18791689.2
PO100978,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Central Maintenance,419,69834763.52
PO100979,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Steel Melt Shop,48,2615266.56
PO100980,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Coke Oven,351,7043222.16
PO100981,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Plate Mill,74,15578869.98
PO100982,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Central Maintenance,359,9113810.94
PO100983,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Central Maintenance,34,570146.68
PO100984,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,145,28243407.4
PO100985,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,366,8431461.48
PO100986,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Hot Strip Mill,206,15668730.8
PO100987,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Power Plant,197,15004333.61
PO100988,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Steel Melt Shop,176,7440570.72
PO100989,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Central Maintenance,365,31846662.45
PO100990,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Power Plant,50,17254929.5
PO100991,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Plate Mill,56,6621927.76
PO100992,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,339,2948927.1
PO100993,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Power Plant,339,16468179.3
PO100994,INDIAN OIL,Indian Oil Corporation Limited,Lubricants,hydraulic oil HLP 68 210L,Sinter Plant,229,2072999.6
PO100995,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Steel Melt Shop,468,22660527.24
PO100996,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Sinter Plant,314,19588007.66
PO100997,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Plate Mill,462,47656136.22
PO100998,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,air filter regulator G3/8,Power Plant,145,4242250.5
PO100999,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Coke Oven,365,4369604.8
PO101000,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Plate Mill,244,1993350.68
PO101001,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Hot Strip Mill,79,8986374.82
PO101002,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Power Plant,332,14686255.72
PO101003,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Central Maintenance,70,5551568.4
PO101004,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Central Maintenance,357,59672046.63
PO101005,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Coke Oven,283,26592256.31
PO101006,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Sinter Plant,310,34758743.8
PO101007,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,280,5246883.6
PO101008,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,58,873027.02
PO101009,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Steel Melt Shop,270,33616539.0
PO101010,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Sinter Plant,313,11549330.66
PO101011,IOCL,Indian Oil Corporation Limited,Lubricants,turbine oil 46,Central Maintenance,463,5259365.16
PO101012,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Plate Mill,241,18019398.89
PO101013,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,409,46949285.87
PO101014,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Hot Strip Mill,289,16964395.37
PO101015,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Sinter Plant,337,21083259.2
PO101016,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,65,1128342.8
PO101017,IOCL,Indian Oil Corporation Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,141,2732945.19
PO101018,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,379,34315387.68
PO101019,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,359,63741175.18
PO101020,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Power Plant,496,44400367.52
PO101021,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Coke Oven,122,11604727.84
PO101022,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Steel Melt Shop,432,14342810.4
PO101023,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Coke Oven,238,20601589.4
PO101024,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Power Plant,362,5468505.94
PO101025,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Blast Furnace,475,62036258.75
PO101026,Festo India Pvt Ltd,Festo India Private Limited,Pneumatics,FRL unit 1/2in air prep,Plate Mill,273,6528994.29
PO101027,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Central Maintenance,411,56762042.76
PO101028,siemens india,Siemens Limited,Electrical & Automation,VFD 132KW 415V drive,Plate Mill,384,21889351.68
PO101029,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Steel Melt Shop,93,1012491.93
PO101030,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Plate Mill,51,5127626.7
PO101031,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,146,26578174.34
PO101032,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Steel Melt Shop,305,35091747.55
PO101033,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Steel Melt Shop,310,17624972.5
PO101034,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Central Maintenance,130,1377385.1
PO101035,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Sinter Plant,142,27693079.98
PO101036,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Power Plant,38,7193560.36
PO101037,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Central Maintenance,31,388605.15
PO101038,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Central Maintenance,476,30784795.44
PO101039,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Central Maintenance,277,7475606.75
PO101040,L&T,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Central Maintenance,53,2023134.02
PO101041,Rexroth India,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Blast Furnace,255,15031842.0
PO101042,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Blast Furnace,137,1146015.96
PO101043,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Power Plant,482,43446164.14
PO101044,KBL,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Blast Furnace,400,80909836.0
PO101045,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,353,8278040.62
PO101046,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,156,2388670.44
PO101047,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Coke Oven,492,27810250.8
PO101048,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Sinter Plant,21,8120882.91
PO101049,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Central Maintenance,459,3518501.22
PO101050,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Blast Furnace,324,29450692.8
PO101051,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Power Plant,369,145742343.3
PO101052,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Blast Furnace,277,31466241.58
PO101053,Rexroth India,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Power Plant,29,2314719.39
PO101054,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Hot Strip Mill,414,122958447.12
PO101055,L&T,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Central Maintenance,120,14298988.8
PO101056,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,242,4876781.58
PO101057,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Sinter Plant,67,417014.7
PO101058,KBL,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Steel Melt Shop,50,7104760.0
PO101059,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Coke Oven,305,8448713.5
PO101060,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Plate Mill,416,9900787.52
PO101061,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Coke Oven,351,96429022.56
PO101062,L&T,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Sinter Plant,304,15438256.96
PO101063,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Central Maintenance,213,33667321.02
PO101064,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Hot Strip Mill,298,36248684.24
PO101065,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Steel Melt Shop,250,12854962.5
PO101066,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,304,6030107.52
PO101067,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Coke Oven,328,61497254.64
PO101068,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Central Maintenance,313,56932455.79
PO101069,Indian Oil Corp Ltd,Indian Oil Corporation Limited,Lubricants,hydraulic oil HLP 68 210L,Power Plant,46,726072.74
PO101070,Rexroth India,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Plate Mill,121,7708337.67
PO101071,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Sinter Plant,277,41764506.03
PO101072,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Central Maintenance,58,7570492.34
PO101073,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Sinter Plant,344,128616264.56
PO101074,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,129,26523465.54
PO101075,L&T,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Central Maintenance,474,39768514.68
PO101076,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Plate Mill,37,3693198.66
PO101077,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Steel Melt Shop,383,7927571.46
PO101078,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Power Plant,51,9068608.35
PO101079,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Power Plant,38,5494699.3
PO101080,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Plate Mill,476,135325848.0
PO101081,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Coke Oven,369,61079946.39
PO101082,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,17,356967.87
PO101083,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Coke Oven,239,4715649.25
PO101084,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Coke Oven,310,28364128.9
PO101085,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Central Maintenance,439,43968242.55
PO101086,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Plate Mill,374,86932395.44
PO101087,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,114,2837521.56
PO101088,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Power Plant,23,190466.22
PO101089,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Central Maintenance,246,22916840.94
PO101090,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Coke Oven,43,790791.5
PO101091,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Central Maintenance,152,27112521.2
PO101092,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Central Maintenance,83,1408638.65
PO101093,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,71,1742828.48
PO101094,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Power Plant,361,5733069.88
PO101095,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Sinter Plant,171,26458067.34
PO101096,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Plate Mill,314,4541064.86
PO101097,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Blast Furnace,29,2373389.58
PO101098,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Plate Mill,188,3739180.88
PO101099,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Hot Strip Mill,287,89427440.69
PO101100,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Coke Oven,123,19212368.76
PO101101,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Power Plant,390,21650768.1
PO101102,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Steel Melt Shop,33,7148616.42
PO101103,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Central Maintenance,273,5658473.73
PO101104,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,410,6766467.8
PO101105,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Sinter Plant,235,18742467.3
PO101106,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Hot Strip Mill,40,3339306.8
PO101107,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,448,5144384.0
PO101108,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Plate Mill,350,6320293.0
PO101109,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Steel Melt Shop,378,7586970.3
PO101110,Rexroth India,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Power Plant,411,28018794.75
PO101111,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Central Maintenance,336,15756830.88
PO101112,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Sinter Plant,291,2931275.01
PO101113,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Plate Mill,191,74036772.28
PO101114,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Hot Strip Mill,490,77214121.6
PO101115,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Hot Strip Mill,430,79408439.7
PO101116,shanthi gears,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Central Maintenance,22,8672819.98
PO101117,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,95,16024070.85
PO101118,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Sinter Plant,76,9729719.12
PO101119,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Central Maintenance,13,2934162.79
PO101120,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Sinter Plant,80,5258059.2
PO101121,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Central Maintenance,149,3934689.19
PO101122,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Steel Melt Shop,58,1262485.42
PO101123,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Plate Mill,206,59041925.74
PO101124,Festo India,Festo India Private Limited,Pneumatics,solenoid valve 5/2 1/4in,Sinter Plant,29,673691.46
PO101125,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Power Plant,43,11351394.56
PO101126,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,163,46048667.08
PO101127,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Plate Mill,367,8862749.06
PO101128,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Coke Oven,177,14394477.21
PO101129,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Sinter Plant,228,23365216.56
PO101130,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Hot Strip Mill,373,144546134.95
PO101131,KBL,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Central Maintenance,307,24420984.26
PO101132,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,269,62338565.72
PO101133,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Central Maintenance,328,47081894.08
PO101134,L&T,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Power Plant,387,45764050.32
PO101135,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,252,30763809.72
PO101136,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Sinter Plant,238,6596329.46
PO101137,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,328,114338674.56
PO101138,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,252,6345982.44
PO101139,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Central Maintenance,142,35643755.12
PO101140,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Steel Melt Shop,445,13009561.65
PO101141,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,376,7037832.64
PO101142,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Hot Strip Mill,237,85604101.38
PO101143,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Sinter Plant,185,16438415.5
PO101144,shanthi gears,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Hot Strip Mill,328,123914027.76
PO101145,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Plate Mill,307,31771181.33
PO101146,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Steel Melt Shop,351,70262916.75
PO101147,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Sinter Plant,181,17053559.36
PO101148,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,249,3867938.61
PO101149,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Power Plant,114,39652624.56
PO101150,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,40,390921.2
PO101151,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,354,5157811.86
PO101152,L&T,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Hot Strip Mill,15,1541188.2
PO101153,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Coke Oven,73,13233437.81
PO101154,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Blast Furnace,41,9491264.25
PO101155,Siemens Ltd,Siemens Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Blast Furnace,388,28806485.76
PO101156,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Sinter Plant,263,43459900.51
PO101157,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Coke Oven,155,18021586.5
PO101158,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Steel Melt Shop,103,2668479.71
PO101159,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Plate Mill,383,145297813.78
PO101160,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,257,85660518.37
PO101161,FESTO INDIA,Festo India Private Limited,Pneumatics,solenoid valve 5/2 1/4in,Coke Oven,297,7977393.27
PO101162,atlas copco,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Steel Melt Shop,88,19129491.92
PO101163,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Plate Mill,472,70898648.0
PO101164,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Plate Mill,95,1221585.05
PO101165,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,218,22064283.58
PO101166,L&T,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Central Maintenance,161,7446089.0
PO101167,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Steel Melt Shop,361,22104997.48
PO101168,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,60,13202844.0
PO101169,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Steel Melt Shop,209,40359686.95
PO101170,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,411,59755035.18
PO101171,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Central Maintenance,346,33502193.9
PO101172,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Power Plant,347,12710769.62
PO101173,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Plate Mill,53,931016.02
PO101174,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Coke Oven,174,17198948.22
PO101175,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Power Plant,372,55558054.92
PO101176,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Sinter Plant,342,6587511.66
PO101177,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Central Maintenance,233,32829348.17
PO101178,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,483,71724534.0
PO101179,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,14,370375.74
PO101180,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Central Maintenance,320,44016454.4
PO101181,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Plate Mill,339,85563305.07
PO101182,KBL,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,277,43593924.83
PO101183,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Blast Furnace,162,3909230.1
PO101184,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Central Maintenance,286,32994367.12
PO101185,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,160,3433056.0
PO101186,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,351,5059496.52
PO101187,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Plate Mill,201,10159444.5
PO101188,L&T,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Hot Strip Mill,146,9367933.78
